,goldDiff - TOP,goldDiff - JG,goldDiff - MID,goldDiff - ADC,goldDiff - SUPP,item0 - TOPB,item0 - SUPPR,item0 - MIDB,item0 - ADCB,item0 - SUPPB,item0 - TOPR,item0 - MIDR,item0 - ADCR,item1 - MIDB,level - TOPB,level - SUPPR,level - JGB,level - MIDB,level - ADCB,level - SUPPB,level - TOPR,level - JGR,level - MIDR,level - ADCR,minute,positionX - TOPB,positionX - SUPPR,positionX - JGB,positionX - MIDB,positionX - ADCB,positionX - SUPPB,positionX - TOPR,positionX - JGR,positionX - MIDR,positionX - ADCR,positionY - TOPB,positionY - SUPPR,positionY - JGB,positionY - MIDB,positionY - ADCB,positionY - SUPPB,positionY - TOPR,positionY - JGR,positionY - MIDR,positionY - ADCR,wardsKilled - MIDB,xpDiff - TOP,xpDiff - JG,xpDiff - MID,xpDiff - ADC,xpDiff - SUPP,wardsPlaced - MIDB
3799,-77,85,-14,7,0,3340,3364,0,3340,3340,3340,3340,3340,0,1,1,2,1,1,1,1,2,1,1,3,1287,13028,8670,6702,12259,12253,2119,12119,7760,12984,12055,2214,2324,7317,2166,1830,12432,6791,7708,2518,False,-91,140,-30,-18,-18,False
3800,-211,-65,-59,-88,-46,3340,3364,0,3340,3340,3340,3340,3340,0,3,2,3,3,2,2,3,3,3,2,4,1235,11826,4954,6517,10775,11032,2776,6540,6206,12039,10669,3006,7635,7183,1633,1427,11362,11262,8865,2732,False,-182,-6,-217,-95,-95,True
3801,-112,-113,74,39,-66,3340,3364,0,3340,3340,3340,3340,3340,0,4,3,4,4,3,3,4,4,4,3,5,2512,12232,4072,7011,11826,12313,3067,12515,13644,12498,12452,2702,9695,7134,1373,1353,13339,10750,13850,2477,False,180,-41,-9,6,90,False
3802,165,-56,610,-209,78,3340,3340,3340,3340,3364,3340,3340,3340,0,9,6,7,8,6,6,8,6,8,7,11,483,10181,469,5469,11014,10083,4066,9870,8090,11420,589,4797,517,6064,1501,2360,13527,4202,6354,4358,True,127,330,244,-305,-14,False
3803,-81,-275,137,-94,-66,3340,3364,2055,3340,3340,3340,3340,3340,0,5,4,4,5,3,4,4,4,5,4,6,969,12189,6625,6805,11118,11475,3576,8486,7697,12275,4103,1292,1041,7066,1944,1427,13614,4993,7060,1354,False,137,-289,21,-256,-142,True
3804,-198,-342,78,-24,-66,3340,3364,0,3340,3340,3340,3340,3340,0,5,4,4,6,4,4,5,5,6,4,7,1208,11999,4766,7301,7941,8569,2535,7689,8306,13466,11049,3642,6054,7353,5809,5527,11809,9842,7808,3890,False,-76,-417,-9,-125,138,False
3805,-121,-285,76,-36,-21,3340,3364,0,3340,3340,3340,3340,3340,0,6,4,5,6,5,5,6,5,6,5,8,1705,10544,5249,7260,10898,10920,2182,5391,9234,11189,11459,3077,9230,7555,1661,1913,12627,12393,5954,3285,False,16,-354,-16,-220,257,False
3806,-223,-216,83,-74,17,3340,3364,0,3340,3340,3340,3340,3340,0,7,5,5,7,5,5,7,5,7,6,9,1118,12559,7740,7309,11729,12335,14340,11403,10783,12472,8142,1463,3935,7467,1541,1343,14391,6945,7477,2362,False,-184,-195,-16,-281,197,True
3807,-59,-181,-38,-4,17,3340,3364,0,3340,3340,3340,3340,3340,0,8,5,6,8,6,6,7,6,8,6,10,2613,13482,12986,7468,13133,11122,3224,7672,11988,13432,11556,3733,1862,7850,2309,5071,13002,10954,11864,3397,False,323,-76,-203,-115,284,False
3808,-324,-259,18,3,59,3340,3364,0,3340,3340,3340,3340,3340,0,8,6,6,8,6,6,8,6,9,7,11,1448,8290,4460,4669,1167,916,1989,4744,7550,13822,10512,6402,7089,8078,938,1338,11839,9711,7901,5835,True,-190,-3,-203,-125,348,False
3809,-290,-194,-45,94,136,3340,3364,2055,3340,3340,3340,3340,3340,0,9,6,7,9,7,6,9,7,9,7,12,1548,13458,5526,394,10357,10462,1664,11593,7893,13451,10986,2762,5052,461,2817,4803,12620,11974,7513,3271,False,-10,138,-305,-5,519,True
3810,-304,-354,273,-102,109,3340,3364,0,3340,3340,3340,3340,3340,0,9,6,7,9,7,7,9,7,10,8,13,1335,12272,6808,6885,11174,11438,2639,13072,7858,12372,7739,2616,8508,8512,1481,1250,12697,4566,7832,2571,False,20,-235,-244,-323,202,False
3811,-318,-369,267,-109,151,3340,3364,0,3340,3340,3340,3340,3340,0,10,7,7,10,8,7,10,7,10,8,14,3068,7707,4826,6781,8936,7063,3488,7625,8120,10313,12703,7037,10113,7266,2242,6730,13165,7845,7389,5435,True,-73,-10,-408,-326,206,True
3812,-490,-354,282,-122,49,3340,3364,0,3363,2055,3340,3340,3340,0,10,7,8,10,9,7,10,8,10,9,15,1297,14340,1953,7628,2089,4040,11689,11805,8376,14240,10500,14391,2709,7693,1553,3965,13998,5928,8179,14291,False,-133,-110,-333,-138,149,False
3813,102,-156,167,-161,99,3340,2055,3340,3340,3364,3340,3340,3340,0,9,6,7,9,7,6,9,7,9,7,12,3035,4894,3488,4965,11313,11592,3268,5282,4468,13061,11645,8328,8059,7552,3520,3677,11686,8827,7490,3968,False,-54,-59,72,-460,-9,False
3814,-608,-471,154,-500,-101,3340,3364,0,3363,2055,3340,3340,3363,0,10,7,8,11,9,7,10,8,11,9,16,3766,12708,8878,10025,7923,12782,4579,13286,3660,13066,13046,3056,3433,3270,3461,3277,13281,3105,10912,3448,False,-49,-226,-604,-98,-8,False
3815,-960,-420,-59,-598,-158,3340,3364,3364,3363,2055,3340,3340,3363,0,11,8,8,11,9,7,11,8,12,9,17,2929,7921,781,8407,765,6820,1246,6268,13839,7333,11027,7806,1096,4862,1159,6378,12381,11400,4153,7592,True,-664,-54,-760,39,-341,True
3816,-1406,-682,4,-702,-115,3340,3364,3364,3363,2055,3340,3340,3363,0,11,8,9,12,10,8,12,9,12,10,18,1521,10861,5266,10978,5363,4946,1100,7250,11949,11426,3605,11469,5721,2084,7670,7917,12269,11698,3683,11841,False,-1458,-731,-712,-130,-134,False
3817,-1713,-607,220,-637,-70,3340,3364,3364,3363,3364,3340,3340,3363,2055,11,8,9,12,10,8,12,10,12,10,19,4954,6068,8027,872,6174,6670,13190,6147,2920,6930,7977,8604,2087,1761,6464,6383,3592,8529,11294,7840,True,-1821,-779,-340,-189,57,True
3818,-2440,-623,156,-677,-211,3340,3364,3364,3363,3364,3340,3340,3363,2055,11,9,9,12,10,9,13,10,13,10,20,8069,11946,6994,3977,3359,5113,13817,10796,4061,12823,1403,12641,4147,7135,2593,5208,10234,11506,13196,12628,False,-2092,-783,-352,-81,76,False
3819,-2375,-597,-88,-591,-120,3340,3364,3364,3363,3364,3340,3340,3363,0,12,9,10,13,11,9,13,10,13,11,21,6167,8487,4852,992,6158,1867,8561,9357,12221,7874,6162,6848,8602,8440,6393,1463,10072,7361,9824,7166,True,-1994,-776,-517,-142,16,True
3820,-2700,-566,-185,-447,-61,3340,3364,3340,3363,3364,3340,3340,3363,0,12,9,10,13,11,9,13,11,13,11,22,8480,8918,8339,7322,7078,7841,8204,8442,9415,8352,5753,6321,6917,6704,6934,6669,7723,6920,5821,7628,False,-2403,-797,-668,75,-200,False
3821,-2967,-622,-113,-134,-61,3340,3364,3340,3363,3364,3340,3340,3363,0,12,9,10,13,11,9,14,11,13,11,23,9893,10771,9481,10586,9396,10140,10412,10928,11058,11025,4403,4516,4472,4636,5416,5579,5471,4322,4246,4478,True,-2675,-841,-627,397,-137,False
3822,-2964,-623,-320,-380,-87,3340,3364,3364,3363,3364,3340,3340,3363,0,12,10,11,13,12,9,14,11,14,12,24,6806,6635,394,1177,3749,3563,13018,6285,4306,7235,1065,8685,461,8241,4328,8684,9786,11005,9724,9928,False,-2715,-751,-951,306,-430,False
