Team,Name,DRA%,HER%,NASH%
XL,Excel Esports,47.3,52.8,32.4
S04,FC Schalke 04,41.6,44.4,46.7
FNC,Fnatic,47,38.9,43.8
G2,G2 Esports,53.7,58.3,50
MAD,MAD Lions,60,55.6,70
MSF,Misfits Gaming,42.8,47.2,42.6
OG,Origen,40.1,44.4,34.4
RGE,Rogue,58.9,55.6,73.3
SK,SK Gaming,62.2,61.1,51.9
VIT,Team Vitality,46.3,41.7,58.3
